




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (4271)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
cellular metabolic process (GO:0044237)	7542	2369	1564.06	+	1.51	1.09E-113	1.72E-109
nitrogen compound metabolic process (GO:0006807)	6886	2192	1428.02	+	1.53	6.19E-105	4.90E-101
macromolecule metabolic process (GO:0043170)	6151	2008	1275.60	+	1.57	3.32E-100	1.75E-96
primary metabolic process (GO:0044238)	7352	2269	1524.66	+	1.49	4.06E-98	1.28E-94
metabolic process (GO:0008152)	8313	2476	1723.95	+	1.44	3.64E-98	1.44E-94
cellular nitrogen compound metabolic process (GO:0034641)	3395	1316	704.06	+	1.87	3.20E-95	8.44E-92
organic substance metabolic process (GO:0071704)	7840	2350	1625.86	+	1.45	5.69E-92	1.29E-88
cellular macromolecule metabolic process (GO:0044260)	4909	1674	1018.03	+	1.64	1.99E-89	3.93E-86
nucleic acid metabolic process (GO:0090304)	2217	969	459.76	+	2.11	9.07E-88	1.59E-84
nucleobase-containing compound metabolic process (GO:0006139)	2705	1102	560.96	+	1.96	7.63E-87	1.21E-83
heterocycle metabolic process (GO:0046483)	2891	1138	599.54	+	1.90	8.48E-83	1.22E-79
cellular aromatic compound metabolic process (GO:0006725)	2937	1140	609.08	+	1.87	4.92E-80	6.48E-77
gene expression (GO:0010467)	2117	903	439.02	+	2.06	9.52E-77	1.16E-73
organic cyclic compound metabolic process (GO:1901360)	3182	1180	659.88	+	1.79	1.01E-73	1.14E-70
RNA metabolic process (GO:0016070)	1582	726	328.08	+	2.21	2.68E-70	2.83E-67
RNA processing (GO:0006396)	930	474	192.86	+	2.46	1.79E-54	1.77E-51
cellular macromolecule biosynthetic process (GO:0034645)	1639	683	339.90	+	2.01	2.65E-53	2.46E-50
cellular protein metabolic process (GO:0044267)	3590	1196	744.50	+	1.61	3.03E-53	2.66E-50
macromolecule biosynthetic process (GO:0009059)	1680	687	348.40	+	1.97	2.30E-51	1.91E-48
G protein-coupled receptor signaling pathway (GO:0007186)	1305	58	270.63	-	.21	1.53E-50	1.21E-47
cellular component organization or biogenesis (GO:0071840)	6006	1732	1245.53	+	1.39	9.41E-47	7.08E-44
cellular nitrogen compound biosynthetic process (GO:0044271)	1553	632	322.06	+	1.96	2.12E-46	1.52E-43
organelle organization (GO:0006996)	3567	1145	739.73	+	1.55	5.90E-44	4.05E-41
organic substance biosynthetic process (GO:1901576)	2803	951	581.29	+	1.64	3.56E-43	2.25E-40
biosynthetic process (GO:0009058)	2865	967	594.14	+	1.63	3.53E-43	2.33E-40
cellular biosynthetic process (GO:0044249)	2715	928	563.04	+	1.65	4.57E-43	2.78E-40
cellular component biogenesis (GO:0044085)	2754	937	571.13	+	1.64	6.86E-43	4.02E-40
mRNA metabolic process (GO:0016071)	697	359	144.54	+	2.48	1.05E-41	5.90E-39
detection of chemical stimulus involved in sensory perception (GO:0050907)	486	0	100.79	-	 < 0.01	8.50E-41	4.63E-38
sensory perception of chemical stimulus (GO:0007606)	543	3	112.61	-	.03	2.30E-40	1.21E-37
protein metabolic process (GO:0019538)	4203	1278	871.62	+	1.47	4.18E-40	2.13E-37
organonitrogen compound metabolic process (GO:1901564)	5246	1514	1087.92	+	1.39	7.08E-39	3.50E-36
ribonucleoprotein complex biogenesis (GO:0022613)	462	268	95.81	+	2.80	9.90E-38	4.74E-35
detection of stimulus involved in sensory perception (GO:0050906)	557	6	115.51	-	.05	1.71E-37	7.96E-35
detection of chemical stimulus (GO:0009593)	522	4	108.25	-	.04	4.18E-37	1.89E-34
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	441	0	91.45	-	 < 0.01	6.63E-37	2.91E-34
ncRNA metabolic process (GO:0034660)	521	285	108.05	+	2.64	1.37E-36	5.83E-34
cellular macromolecule catabolic process (GO:0044265)	925	411	191.83	+	2.14	3.37E-36	1.40E-33
sensory perception of smell (GO:0007608)	468	2	97.05	-	.02	1.20E-35	4.87E-33
macromolecule catabolic process (GO:0009057)	1058	447	219.41	+	2.04	2.82E-35	1.11E-32
protein-containing complex subunit organization (GO:0043933)	1605	600	332.85	+	1.80	3.49E-35	1.34E-32
translation (GO:0006412)	387	234	80.26	+	2.92	6.15E-35	2.31E-32
peptide biosynthetic process (GO:0043043)	414	242	85.86	+	2.82	1.87E-34	6.87E-32
ncRNA processing (GO:0034470)	436	248	90.42	+	2.74	7.30E-34	2.62E-31
cellular component organization (GO:0016043)	5783	1597	1199.28	+	1.33	9.72E-33	3.41E-30
intracellular transport (GO:0046907)	1464	546	303.60	+	1.80	1.33E-31	4.56E-29
protein localization (GO:0008104)	2063	700	427.83	+	1.64	1.08E-30	3.63E-28
macromolecule modification (GO:0043412)	3211	985	665.90	+	1.48	1.87E-30	6.16E-28
establishment of protein localization (GO:0045184)	1397	521	289.71	+	1.80	3.86E-30	1.25E-27
macromolecule localization (GO:0033036)	2496	806	517.62	+	1.56	5.60E-30	1.77E-27
amide biosynthetic process (GO:0043604)	537	268	111.36	+	2.41	1.38E-29	4.28E-27
ribosome biogenesis (GO:0042254)	329	198	68.23	+	2.90	1.44E-29	4.37E-27
sensory perception (GO:0007600)	979	60	203.03	-	.30	8.02E-29	2.39E-26
detection of stimulus (GO:0051606)	721	31	149.52	-	.21	8.67E-29	2.54E-26
system process (GO:0003008)	2057	213	426.58	-	.50	3.17E-28	9.10E-26
protein transport (GO:0015031)	1300	485	269.59	+	1.80	5.31E-28	1.50E-25
peptide metabolic process (GO:0006518)	544	265	112.81	+	2.35	5.45E-28	1.51E-25
cellular catabolic process (GO:0044248)	1812	620	375.77	+	1.65	1.08E-27	2.93E-25
cellular process (GO:0009987)	15495	3535	3213.36	+	1.10	1.85E-27	4.96E-25
nitrogen compound transport (GO:0071705)	1708	589	354.21	+	1.66	5.81E-27	1.53E-24
regulation of cellular metabolic process (GO:0031323)	6138	1633	1272.90	+	1.28	1.47E-26	3.81E-24
rRNA processing (GO:0006364)	262	165	54.33	+	3.04	2.30E-26	5.85E-24
rRNA metabolic process (GO:0016072)	272	168	56.41	+	2.98	3.72E-26	9.33E-24
nervous system process (GO:0050877)	1416	125	293.65	-	.43	4.76E-26	1.18E-23
regulation of macromolecule metabolic process (GO:0060255)	6340	1671	1314.79	+	1.27	1.18E-25	2.86E-23
chromosome organization (GO:0051276)	1064	409	220.65	+	1.85	1.35E-25	3.24E-23
regulation of metabolic process (GO:0019222)	6874	1787	1425.53	+	1.25	1.53E-25	3.61E-23
cellular component assembly (GO:0022607)	2494	780	517.21	+	1.51	1.75E-25	4.06E-23
regulation of nitrogen compound metabolic process (GO:0051171)	5740	1536	1190.36	+	1.29	2.36E-25	5.41E-23
cellular macromolecule localization (GO:0070727)	1480	521	306.92	+	1.70	2.67E-25	6.02E-23
cellular response to stress (GO:0033554)	1741	589	361.05	+	1.63	2.82E-25	6.27E-23
regulation of primary metabolic process (GO:0080090)	5925	1576	1228.73	+	1.28	2.90E-25	6.38E-23
protein-containing complex assembly (GO:0065003)	1358	487	281.62	+	1.73	4.68E-25	1.01E-22
cellular protein localization (GO:0034613)	1470	516	304.85	+	1.69	6.87E-25	1.47E-22
cellular protein-containing complex assembly (GO:0034622)	867	350	179.80	+	1.95	8.55E-25	1.80E-22
cellular localization (GO:0051641)	2985	893	619.03	+	1.44	2.38E-24	4.89E-22
protein localization to organelle (GO:0033365)	742	312	153.88	+	2.03	2.37E-24	4.93E-22
organonitrogen compound biosynthetic process (GO:1901566)	1379	488	285.98	+	1.71	4.54E-24	9.20E-22
protein modification process (GO:0036211)	2985	891	619.03	+	1.44	4.80E-24	9.48E-22
cellular protein modification process (GO:0006464)	2985	891	619.03	+	1.44	4.80E-24	9.60E-22
mRNA processing (GO:0006397)	486	233	100.79	+	2.31	7.28E-24	1.42E-21
catabolic process (GO:0009056)	2096	670	434.67	+	1.54	1.30E-23	2.51E-21
cellular amide metabolic process (GO:0043603)	820	330	170.05	+	1.94	3.55E-23	6.77E-21
cellular response to DNA damage stimulus (GO:0006974)	793	322	164.45	+	1.96	4.09E-23	7.69E-21
organic substance catabolic process (GO:1901575)	1769	582	366.86	+	1.59	1.24E-22	2.31E-20
posttranscriptional regulation of gene expression (GO:0010608)	581	257	120.49	+	2.13	2.00E-22	3.67E-20
intracellular protein transport (GO:0006886)	781	315	161.96	+	1.94	3.28E-22	5.97E-20
RNA splicing (GO:0008380)	409	202	84.82	+	2.38	5.14E-22	9.24E-20
regulation of nucleobase-containing compound metabolic process (GO:0019219)	4049	1127	839.68	+	1.34	6.05E-22	1.07E-19
regulation of cellular macromolecule biosynthetic process (GO:2000112)	3968	1108	822.89	+	1.35	6.86E-22	1.21E-19
regulation of macromolecule biosynthetic process (GO:0010556)	3999	1115	829.31	+	1.34	7.27E-22	1.26E-19
nuclear-transcribed mRNA catabolic process (GO:0000956)	195	128	40.44	+	3.17	7.53E-22	1.29E-19
cell cycle (GO:0007049)	1316	460	272.91	+	1.69	8.38E-22	1.43E-19
RNA catabolic process (GO:0006401)	248	146	51.43	+	2.84	1.87E-21	3.14E-19
Unclassified (UNCLASSIFIED)	2744	353	569.05	-	.62	2.02E-21	3.33E-19
biological_process (GO:0008150)	17851	3918	3701.95	+	1.06	2.02E-21	3.36E-19
adaptive immune response (GO:0002250)	658	37	136.46	-	.27	2.33E-21	3.80E-19
mRNA catabolic process (GO:0006402)	215	133	44.59	+	2.98	4.89E-21	7.88E-19
heterocycle biosynthetic process (GO:0018130)	1049	384	217.54	+	1.77	6.55E-21	1.05E-18
RNA splicing, via transesterification reactions (GO:0000375)	306	164	63.46	+	2.58	8.23E-21	1.30E-18
regulation of cellular biosynthetic process (GO:0031326)	4163	1145	863.32	+	1.33	8.42E-21	1.30E-18
nucleobase-containing compound biosynthetic process (GO:0034654)	975	363	202.20	+	1.80	8.38E-21	1.31E-18
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	303	163	62.84	+	2.59	9.00E-21	1.37E-18
mRNA splicing, via spliceosome (GO:0000398)	303	163	62.84	+	2.59	9.00E-21	1.38E-18
regulation of biosynthetic process (GO:0009889)	4226	1153	876.39	+	1.32	5.02E-20	7.56E-18
regulation of gene expression (GO:0010468)	4922	1311	1020.73	+	1.28	5.61E-20	8.36E-18
establishment of localization in cell (GO:0051649)	2335	705	484.23	+	1.46	1.27E-19	1.87E-17
establishment of protein localization to organelle (GO:0072594)	394	189	81.71	+	2.31	1.31E-19	1.92E-17
viral gene expression (GO:0019080)	172	113	35.67	+	3.17	1.58E-19	2.30E-17
aromatic compound biosynthetic process (GO:0019438)	1060	380	219.82	+	1.73	1.76E-19	2.53E-17
regulation of cell cycle (GO:0051726)	1164	405	241.39	+	1.68	5.30E-19	7.55E-17
DNA repair (GO:0006281)	531	228	110.12	+	2.07	7.69E-19	1.08E-16
viral process (GO:0016032)	444	202	92.08	+	2.19	7.77E-19	1.09E-16
signaling (GO:0023052)	5565	881	1154.07	-	.76	9.80E-19	1.36E-16
DNA metabolic process (GO:0006259)	777	298	161.13	+	1.85	1.34E-18	1.84E-16
modification-dependent macromolecule catabolic process (GO:0043632)	563	236	116.76	+	2.02	1.67E-18	2.27E-16
organic substance transport (GO:0071702)	2079	634	431.14	+	1.47	2.35E-18	3.17E-16
nucleobase-containing compound catabolic process (GO:0034655)	373	178	77.35	+	2.30	2.58E-18	3.42E-16
protein modification by small protein conjugation or removal (GO:0070647)	1035	367	214.64	+	1.71	2.57E-18	3.44E-16
translational initiation (GO:0006413)	143	99	29.66	+	3.34	2.73E-18	3.56E-16
protein catabolic process (GO:0030163)	697	274	144.54	+	1.90	2.72E-18	3.59E-16
humoral immune response (GO:0006959)	386	13	80.05	-	.16	3.03E-18	3.93E-16
cellular protein catabolic process (GO:0044257)	644	258	133.55	+	1.93	4.08E-18	5.24E-16
proteolysis involved in cellular protein catabolic process (GO:0051603)	609	246	126.29	+	1.95	1.37E-17	1.75E-15
protein targeting (GO:0006605)	322	159	66.78	+	2.38	1.41E-17	1.78E-15
